Company,Sector,Date,index,Price,Open,High,Low,Change %,vol multiplier,Volume,Company Name,SubSector,Market Classification,Shares Outstanding,Market Cap
NB,CONSUMER GOODS,2000-04-04,4937,0.16,16.01,0.16,0.16,0.00%,1000000.0,27320000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-05,4936,0.16,16.02,0.16,0.16,0.00%,1000000.0,17860000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-06,4935,0.16,16.07,0.16,0.16,0.00%,1000000.0,27370000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-07,4934,0.16,16.04,0.16,0.16,0.00%,1000000.0,22650000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-10,4933,0.16,16.04,0.16,0.16,0.00%,1000000.0,37190000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-11,4932,0.16,16.04,0.16,0.16,0.00%,1000000.0,32960000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-12,4931,0.16,16.04,0.16,0.16,0.00%,1000000.0,55420000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-13,4930,0.16,16.04,0.16,0.16,0.00%,1000000.0,26630000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-14,4929,0.16,16.06,0.16,0.16,0.00%,1000000.0,70590000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-17,4928,0.16,16.09,0.16,0.16,0.00%,1000000.0,73820000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-18,4927,0.16,16.08,0.16,0.16,0.00%,1000000.0,23860000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-19,4926,0.16,16.1,0.16,0.16,0.00%,1000000.0,27020000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-20,4925,0.16,16.1,0.16,0.16,0.00%,1000000.0,22900000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-25,4924,0.16,16.1,0.16,0.16,0.00%,1000000.0,54190000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-26,4923,0.16,16.16,0.16,0.16,0.00%,1000000.0,35710000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-27,4922,0.16,16.32,0.16,0.16,0.00%,1000000.0,17200000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-04-28,4921,0.16,16.32,0.16,0.16,0.00%,1000000.0,17290000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
